Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,1011.15,1074.66,1299.35,1433.85,1968.97,2400.57,1797.39,RITES
Raw Material Cost,,,,77.25,137.95,,,,,,RITES
Change in Inventory,,,,,,,-40.36,95.85,-94.77,279.03,RITES
Power and Fuel,,,,3.72,4.61,4.64,4.69,4.46,4.74,4.09,RITES
Other Mfr. Exp,,,,169.77,151.8,332.27,266.42,920.83,1041.98,1033.67,RITES
Employee Cost,,,,324.06,340.25,416.36,456.41,483.86,516.94,481.06,RITES
Selling and admin,,,,66.27,69.26,189.28,196.65,85.7,81.07,58.75,RITES
Other Expenses,,,,20.65,24.73,41.99,102.06,52.68,58.96,38.86,RITES
Other Income,,,,144.82,134.97,207.41,152.48,195.19,264.47,150.01,RITES
Depreciation,,,,26.12,31.82,32.11,30.18,32.18,40.93,44.81,RITES
Interest,,,,1.5,1.17,2.01,4.81,3.58,3.04,2.84,RITES
Profit before tax,,,,466.63,448.04,488.1,484.75,676.72,822.61,562.35,RITES
Tax,,,,155.87,166.02,157.17,153.04,232.07,226.22,138.0,RITES
Net profit,,,,310.76,282.03,330.93,331.71,444.65,596.39,424.35,RITES
