Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,10.62,15.2,21.3,15.36,16.58,VERTOZ
Raw Material Cost,,,,,,,,,,,VERTOZ
Change in Inventory,,,,,,,,,,,VERTOZ
Power and Fuel,,,,,,0.11,0.11,0.07,0.1,0.07,VERTOZ
Other Mfr. Exp,,,,,,0.51,2.9,6.11,4.59,5.52,VERTOZ
Employee Cost,,,,,,5.84,7.44,8.28,6.45,5.18,VERTOZ
Selling and admin,,,,,,1.33,1.57,2.36,0.73,0.53,VERTOZ
Other Expenses,,,,,,0.01,0.03,0.22,0.03,0.03,VERTOZ
Other Income,,,,,,0.18,0.68,0.65,1.24,1.96,VERTOZ
Depreciation,,,,,,0.79,0.9,0.59,0.77,2.35,VERTOZ
Interest,,,,,,0.39,0.45,0.46,1.07,1.18,VERTOZ
Profit before tax,,,,,,1.82,2.48,3.86,2.86,3.68,VERTOZ
Tax,,,,,,0.72,0.67,1.1,0.89,0.92,VERTOZ
Net profit,,,,,,1.11,1.81,2.75,1.97,2.77,VERTOZ
