Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,6.0,6.17,8.57,8.57,8.57,10.28,10.28,10.28,10.28,11.51,SANCO
Reserves,7.69,11.02,14.35,18.04,18.5,19.87,23.96,24.92,25.19,2.35,SANCO
Borrowings,17.45,15.35,20.14,26.34,33.31,41.85,50.55,59.69,58.37,57.99,SANCO
Other Liabilities,10.72,13.6,10.86,17.02,22.04,25.73,58.42,29.09,28.64,19.11,SANCO
Total,41.86,46.14,53.92,69.97,82.42,97.73,143.21,123.98,122.48,90.96,SANCO
Net Block,2.94,2.34,2.8,6.74,4.35,3.63,3.69,2.75,2.24,1.74,SANCO
Capital Work in Progress,0.3,1.28,0.3,,0.03,0.03,0.03,0.03,0.03,0.03,SANCO
Investments,3.5,3.5,3.5,4.32,5.18,3.99,4.58,4.51,3.39,3.39,SANCO
Other Assets,35.12,39.02,47.32,58.91,72.86,90.08,134.91,116.69,116.82,85.8,SANCO
Total,41.86,46.14,53.92,69.97,82.42,97.73,143.21,123.98,122.48,90.96,SANCO
Receivables,20.47,28.65,29.45,32.04,46.89,53.24,73.24,44.48,34.94,18.15,SANCO
Inventory,7.12,5.81,10.52,13.14,13.13,22.18,37.87,38.61,41.14,18.16,SANCO
Cash & Bank,0.52,0.84,1.5,1.0,1.39,1.81,1.49,0.25,1.06,0.87,SANCO
No. of Equity Shares,6000000.0,6170000.0,8570000.0,8570000.0,8570000.0,10284000.0,10284000.0,10284000.0,10284000.0,11512000.0,SANCO
New Bonus Shares,,,,,,,,,,,SANCO
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SANCO
