Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2011-03-31 00:00:00,2012-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,8.98,17.36,24.87,27.88,23.64,22.98,GANGAFORGE
Raw Material Cost,,,,,6.03,11.86,17.97,,,,GANGAFORGE
Change in Inventory,,,,,0.09,0.48,2.16,1.98,-0.83,0.61,GANGAFORGE
Power and Fuel,,,,,0.32,0.43,1.36,1.98,1.83,1.43,GANGAFORGE
Other Mfr. Exp,,,,,1.11,3.25,1.37,22.84,18.82,17.97,GANGAFORGE
Employee Cost,,,,,0.65,0.89,1.81,1.99,2.27,1.91,GANGAFORGE
Selling and admin,,,,,0.14,0.27,2.49,0.65,0.62,0.5,GANGAFORGE
Other Expenses,,,,,-0.01,,0.06,0.05,0.02,0.04,GANGAFORGE
Other Income,,,,,0.01,0.02,0.03,0.17,0.1,0.1,GANGAFORGE
Depreciation,,,,,0.3,0.41,0.5,0.74,0.88,0.87,GANGAFORGE
Interest,,,,,0.33,0.46,0.79,1.12,1.27,0.79,GANGAFORGE
Profit before tax,,,,,0.21,0.29,0.71,0.66,-2.8,0.18,GANGAFORGE
Tax,,,,,0.09,0.21,0.25,0.14,-0.69,0.07,GANGAFORGE
Net profit,,,,,0.11,0.09,0.46,0.52,-2.12,0.11,GANGAFORGE
