Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,110.81,142.96,239.72,309.71,380.87,343.95,336.76,MOKSH
Raw Material Cost,,,,110.93,141.66,240.34,302.2,369.41,312.52,317.04,MOKSH
Change in Inventory,,,,5.1,5.14,10.99,5.57,3.08,-19.23,-3.67,MOKSH
Power and Fuel,,,,,,0.01,0.01,0.01,0.01,0.02,MOKSH
Other Mfr. Exp,,,,2.33,3.29,2.67,2.87,3.87,3.44,4.31,MOKSH
Employee Cost,,,,0.2,0.29,0.39,0.72,0.98,1.47,1.68,MOKSH
Selling and admin,,,,,,0.1,0.92,0.38,0.69,0.87,MOKSH
Other Expenses,,,,0.18,0.18,0.04,0.06,0.13,0.3,0.61,MOKSH
Other Income,,,,0.1,0.04,0.21,0.31,0.6,4.58,1.0,MOKSH
Depreciation,,,,0.04,0.04,0.03,0.02,0.02,0.02,0.03,MOKSH
Interest,,,,2.09,2.46,2.79,2.94,3.04,3.71,3.76,MOKSH
Profit before tax,,,,0.24,0.22,4.55,5.85,6.71,7.14,5.77,MOKSH
Tax,,,,0.08,0.07,1.46,1.94,1.91,1.79,1.54,MOKSH
Net profit,,,,0.17,0.15,3.1,3.92,4.8,5.35,4.24,MOKSH
