Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,25.75,,11.41,11.41,BOROLTD
Reserves,,,,,,,-41.6,602.13,642.88,688.32,BOROLTD
Borrowings,,,,,,,124.1,61.31,43.41,,BOROLTD
Other Liabilities,,,,,,,53.37,119.75,113.33,125.13,BOROLTD
Total,,,,,,,161.62,783.19,811.03,824.86,BOROLTD
Net Block,,,,,,,89.21,289.67,266.85,282.51,BOROLTD
Capital Work in Progress,,,,,,,9.86,15.44,45.39,11.66,BOROLTD
Investments,,,,,,,,175.17,185.41,312.11,BOROLTD
Other Assets,,,,,,,62.55,302.91,313.38,218.58,BOROLTD
Total,,,,,,,161.62,783.19,811.03,824.86,BOROLTD
Receivables,,,,,,,17.12,80.44,77.32,53.85,BOROLTD
Inventory,,,,,,,22.62,164.26,170.57,129.77,BOROLTD
Cash & Bank,,,,,,,0.63,7.44,2.49,5.94,BOROLTD
No. of Equity Shares,,,,,,,257500000.0,,114059537.0,114119467.0,BOROLTD
New Bonus Shares,,,,,,,,,,,BOROLTD
Face value,,,,,,,1.0,,1.0,1.0,BOROLTD
