Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,39.77,39.77,39.77,45.07,SPENCERS
Reserves,,,,,,,550.22,556.73,355.48,299.48,SPENCERS
Borrowings,,,,,,,,,643.84,765.23,SPENCERS
Other Liabilities,,,,,,,331.36,365.24,378.75,341.27,SPENCERS
Total,,,,,,,921.35,961.74,1417.84,1451.05,SPENCERS
Net Block,,,,,,,233.9,258.53,659.48,686.69,SPENCERS
Capital Work in Progress,,,,,,,0.15,1.06,8.67,1.79,SPENCERS
Investments,,,,,,,55.04,77.03,316.17,353.27,SPENCERS
Other Assets,,,,,,,632.26,625.12,433.52,409.3,SPENCERS
Total,,,,,,,921.35,961.74,1417.84,1451.05,SPENCERS
Receivables,,,,,,,37.21,45.68,61.19,31.46,SPENCERS
Inventory,,,,,,,249.7,269.82,230.63,235.82,SPENCERS
Cash & Bank,,,,,,,99.28,219.04,59.63,53.48,SPENCERS
No. of Equity Shares,,,,,,,,79534226.0,79534226.0,90132009.0,SPENCERS
New Bonus Shares,,,,,,,,,,,SPENCERS
Face value,,,,,,,5.0,5.0,5.0,5.0,SPENCERS
