Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,19.19,19.19,19.19,24.2,24.2,24.2,25.55,SINTERCOM
Reserves,,,,27.07,26.01,27.89,61.93,64.83,61.98,78.17,SINTERCOM
Borrowings,,,,31.69,35.18,41.06,30.74,28.31,28.16,21.43,SINTERCOM
Other Liabilities,,,,9.93,12.05,18.57,24.54,32.56,33.09,26.72,SINTERCOM
Total,,,,87.88,92.43,106.71,141.41,149.9,147.43,151.87,SINTERCOM
Net Block,,,,53.2,58.58,73.3,75.97,92.47,92.34,87.03,SINTERCOM
Capital Work in Progress,,,,3.02,,0.09,0.11,2.28,4.01,4.05,SINTERCOM
Investments,,,,,,,,,,,SINTERCOM
Other Assets,,,,31.66,33.85,33.32,65.33,55.15,51.08,60.79,SINTERCOM
Total,,,,87.88,92.43,106.71,141.41,149.9,147.43,151.87,SINTERCOM
Receivables,,,,10.44,15.99,18.11,24.49,24.81,18.71,21.15,SINTERCOM
Inventory,,,,5.34,6.32,9.72,9.58,14.47,15.83,19.25,SINTERCOM
Cash & Bank,,,,7.03,0.75,1.4,16.14,0.88,0.79,8.24,SINTERCOM
No. of Equity Shares,,,,19186822.0,19186822.0,19186822.0,24202822.0,24202822.0,24202822.0,25552822.0,SINTERCOM
New Bonus Shares,,,,,,,,,,,SINTERCOM
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SINTERCOM
