Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.29,0.56,0.56,0.56,0.56,12.77,17.34,17.34,17.34,REPL
Reserves,,3.25,5.72,20.76,25.38,28.85,26.23,45.21,49.69,63.19,REPL
Borrowings,,,,0.41,0.61,3.66,0.93,,4.05,2.92,REPL
Other Liabilities,,4.17,5.45,9.38,7.31,6.15,7.13,10.54,9.02,17.28,REPL
Total,,7.71,11.73,31.11,33.86,39.22,47.06,73.09,80.1,100.73,REPL
Net Block,,1.01,1.87,2.92,2.3,1.8,1.59,1.43,9.6,8.01,REPL
Capital Work in Progress,,0.24,,0.08,,0.03,,,,0.06,REPL
Investments,,0.13,0.03,6.1,8.28,10.29,10.0,10.01,10.25,10.25,REPL
Other Assets,,6.33,9.83,22.01,23.28,27.1,35.47,61.65,60.25,82.41,REPL
Total,,7.71,11.73,31.11,33.86,39.22,47.06,73.09,80.1,100.73,REPL
Receivables,,3.31,5.34,13.21,14.01,15.85,19.01,29.77,24.02,34.73,REPL
Inventory,,,,,,2.38,2.88,5.41,,,REPL
Cash & Bank,,0.32,0.91,2.03,3.86,1.89,5.62,5.63,13.83,8.24,REPL
No. of Equity Shares,,290500.0,560500.0,5605000.0,5605000.0,560500.0,12770500.0,17342500.0,17342500.0,17342500.0,REPL
New Bonus Shares,,,,,,,11210000.0,11210000.0,,,REPL
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,REPL
