Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,572.21,851.23,983.85,986.05,1080.63,1337.28,RAILTEL
Raw Material Cost,,,,,,,,,,,RAILTEL
Change in Inventory,,,,,,,,,,,RAILTEL
Power and Fuel,,,,,26.74,34.51,39.11,41.04,35.38,37.69,RAILTEL
Other Mfr. Exp,,,,,37.71,406.79,515.12,506.57,563.36,739.99,RAILTEL
Employee Cost,,,,,89.05,104.77,117.99,110.52,116.5,121.7,RAILTEL
Selling and admin,,,,,209.17,35.03,35.7,26.71,19.77,22.23,RAILTEL
Other Expenses,,,,,3.84,13.99,2.49,0.19,12.19,88.11,RAILTEL
Other Income,,,,,69.85,52.46,40.78,-5.51,-17.87,28.4,RAILTEL
Depreciation,,,,,80.68,116.42,118.64,111.56,130.85,159.25,RAILTEL
Interest,,,,,0.88,1.02,1.74,5.3,3.57,2.1,RAILTEL
Profit before tax,,,,,193.99,191.16,193.84,178.65,181.14,194.61,RAILTEL
Tax,,,,,92.03,63.1,37.67,68.85,42.79,54.2,RAILTEL
Net profit,,,,,101.96,128.06,156.17,109.8,138.35,140.41,RAILTEL
