Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,513.99,582.23,741.25,1004.44,951.37,1218.65,HERANBA
Raw Material Cost,,,,,361.17,423.91,497.01,714.83,655.09,792.4,HERANBA
Change in Inventory,,,,,-12.09,5.43,-6.74,17.07,17.65,12.89,HERANBA
Power and Fuel,,,,,21.47,21.38,27.98,37.02,41.66,48.4,HERANBA
Other Mfr. Exp,,,,,10.88,14.71,27.73,35.4,30.41,27.0,HERANBA
Employee Cost,,,,,29.78,31.81,33.21,38.01,46.47,52.18,HERANBA
Selling and admin,,,,,17.04,18.23,19.43,23.98,24.0,34.32,HERANBA
Other Expenses,,,,,17.08,29.23,41.33,40.86,42.03,55.9,HERANBA
Other Income,,,,,0.84,2.5,5.31,7.39,16.53,7.03,HERANBA
Depreciation,,,,,4.06,4.0,5.01,5.95,8.2,14.69,HERANBA
Interest,,,,,13.43,12.37,11.81,10.73,8.84,5.4,HERANBA
Profit before tax,,,,,27.83,34.52,76.31,122.12,128.85,208.28,HERANBA
Tax,,,,,10.94,14.2,29.43,46.72,31.19,54.06,HERANBA
Net profit,,,,,16.88,20.32,46.88,75.4,97.66,154.23,HERANBA
