Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,0.16,0.59,0.44,0.75,4.94,GANGESSECU
Raw Material Cost,,,,,,,,,,,GANGESSECU
Change in Inventory,,,,,,,,,,,GANGESSECU
Power and Fuel,,,,,,,,,,,GANGESSECU
Other Mfr. Exp,,,,,,0.16,0.19,0.12,0.16,0.15,GANGESSECU
Employee Cost,,,,,,,0.01,0.01,0.01,0.02,GANGESSECU
Selling and admin,,,,,0.03,0.12,0.28,0.11,0.25,0.26,GANGESSECU
Other Expenses,,,,,0.01,,,0.01,0.01,0.17,GANGESSECU
Other Income,,,,,,,,0.27,0.24,0.44,GANGESSECU
Depreciation,,,,,,0.04,0.04,0.03,0.02,0.02,GANGESSECU
Interest,,,,,,,,0.25,0.14,0.07,GANGESSECU
Profit before tax,,,,,-0.04,-0.16,0.07,0.18,0.4,4.69,GANGESSECU
Tax,,,,,,,,0.05,,-0.02,GANGESSECU
Net profit,,,,,-0.04,-0.16,0.07,0.13,0.39,4.71,GANGESSECU
