Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,279.08,328.65,367.32,VIJAYA
Raw Material Cost,,,,,,,,38.57,42.51,55.51,VIJAYA
Change in Inventory,,,,,,,,,,,VIJAYA
Power and Fuel,,,,,,,,8.56,10.1,9.85,VIJAYA
Other Mfr. Exp,,,,,,,,15.68,18.46,22.14,VIJAYA
Employee Cost,,,,,,,,50.31,59.56,55.71,VIJAYA
Selling and admin,,,,,,,,68.46,62.1,56.91,VIJAYA
Other Expenses,,,,,,,,5.68,3.34,3.9,VIJAYA
Other Income,,,,,,,,8.64,11.66,10.83,VIJAYA
Depreciation,,,,,,,,25.69,47.67,49.73,VIJAYA
Interest,,,,,,,,4.36,14.82,14.81,VIJAYA
Profit before tax,,,,,,,,70.41,81.75,109.59,VIJAYA
Tax,,,,,,,,21.49,20.51,26.76,VIJAYA
Net profit,,,,,,,,48.92,61.24,82.82,VIJAYA
