Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,7.76,7.76,7.76,10.84,15.29,30.59,30.59,SUMIT
Reserves,,,,19.19,20.48,22.13,35.46,55.0,42.14,23.07,SUMIT
Borrowings,,,,9.28,21.56,34.25,36.46,27.73,21.09,31.83,SUMIT
Other Liabilities,,,,15.95,22.12,25.59,12.28,8.47,17.26,14.48,SUMIT
Total,,,,52.18,71.92,89.73,95.04,106.49,111.08,99.97,SUMIT
Net Block,,,,2.86,2.99,11.54,7.63,7.16,6.71,6.4,SUMIT
Capital Work in Progress,,,,,,,,,,,SUMIT
Investments,,,,8.86,14.7,18.4,29.88,37.74,32.16,36.04,SUMIT
Other Assets,,,,40.46,54.23,59.79,57.53,61.59,72.21,57.53,SUMIT
Total,,,,52.18,71.92,89.73,95.04,106.49,111.08,99.97,SUMIT
Receivables,,,,1.28,3.2,5.23,7.41,9.09,12.34,11.12,SUMIT
Inventory,,,,36.27,47.66,49.21,44.61,44.8,53.74,36.33,SUMIT
Cash & Bank,,,,0.88,1.21,0.24,1.49,0.36,0.35,0.66,SUMIT
No. of Equity Shares,,,,7762500.0,7762500.0,7762500.0,10840522.0,15293522.0,30587044.0,30587044.0,SUMIT
New Bonus Shares,,,,,,,,,,,SUMIT
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SUMIT
