Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,4.18,4.18,4.18,4.18,8.36,8.36,8.36,8.36,8.36,8.36,RUBYMILLS
Reserves,203.94,232.48,275.42,325.6,359.68,398.06,430.04,444.17,464.74,490.96,RUBYMILLS
Borrowings,616.3,610.63,582.38,518.25,424.59,350.74,381.46,383.06,389.72,394.48,RUBYMILLS
Other Liabilities,195.21,170.37,166.53,175.31,179.17,214.9,159.71,154.4,167.6,154.48,RUBYMILLS
Total,1019.63,1017.66,1028.51,1023.34,971.8,972.06,979.57,989.99,1030.42,1048.28,RUBYMILLS
Net Block,195.93,181.63,169.82,151.25,131.99,124.85,111.93,98.03,88.86,81.69,RUBYMILLS
Capital Work in Progress,40.36,36.43,29.26,30.26,32.03,33.05,33.7,34.56,36.65,37.23,RUBYMILLS
Investments,,,,,,,,,12.02,8.55,RUBYMILLS
Other Assets,783.34,799.6,829.43,841.83,807.78,814.16,833.94,857.4,892.89,920.81,RUBYMILLS
Total,1019.63,1017.66,1028.51,1023.34,971.8,972.06,979.57,989.99,1030.42,1048.28,RUBYMILLS
Receivables,22.47,19.65,23.74,16.55,18.52,13.55,18.23,14.84,13.28,15.5,RUBYMILLS
Inventory,43.18,34.47,41.63,39.65,38.25,40.41,40.63,37.15,44.45,31.48,RUBYMILLS
Cash & Bank,64.6,11.05,3.18,4.76,25.44,24.12,36.84,29.22,31.0,47.08,RUBYMILLS
No. of Equity Shares,4180000.0,8360000.0,8360000.0,8360000.0,16720000.0,16720000.0,16720000.0,16720000.0,16720000.0,16720000.0,RUBYMILLS
New Bonus Shares,,,,,8360000.0,,,,,,RUBYMILLS
Face value,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,RUBYMILLS
