Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,2.61,173.5,505.17,803.96,1125.08,1335.64,1786.61,1528.74,879.72,CAPACITE
Raw Material Cost,,4.92,108.39,302.5,440.34,471.64,632.31,765.73,657.63,356.91,CAPACITE
Change in Inventory,,4.43,22.53,41.36,95.95,12.48,37.64,,,,CAPACITE
Power and Fuel,,0.03,0.15,0.19,0.26,7.34,7.95,12.73,12.32,7.7,CAPACITE
Other Mfr. Exp,,0.98,37.47,122.35,249.76,338.41,375.86,557.24,406.36,245.12,CAPACITE
Employee Cost,,2.32,22.74,45.8,68.38,86.77,116.63,146.16,137.03,78.81,CAPACITE
Selling and admin,,1.12,12.04,15.84,31.16,31.84,36.29,44.4,41.15,27.57,CAPACITE
Other Expenses,,0.03,0.47,0.59,5.53,4.56,0.93,11.87,17.53,27.1,CAPACITE
Other Income,,0.42,1.31,6.99,12.87,15.09,24.36,36.89,25.38,28.72,CAPACITE
Depreciation,,0.05,2.35,8.68,15.32,65.13,67.22,88.99,114.18,90.16,CAPACITE
Interest,,0.19,2.76,13.17,29.43,41.67,39.75,49.12,64.52,70.25,CAPACITE
Profit before tax,,-2.18,10.97,44.4,72.6,105.29,120.7,147.26,103.4,4.82,CAPACITE
Tax,,0.13,5.92,13.64,24.92,36.19,41.96,51.68,12.48,3.03,CAPACITE
Net profit,,-2.32,5.05,30.77,47.68,69.1,78.75,95.58,90.92,1.79,CAPACITE
