Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,109.62,82.3,74.6,103.03,170.79,BSHSL
Raw Material Cost,,,,,,99.89,78.46,74.64,89.8,122.03,BSHSL
Change in Inventory,,,,,,0.43,5.74,10.82,3.64,18.89,BSHSL
Power and Fuel,,,,,,0.06,0.07,0.11,0.14,0.21,BSHSL
Other Mfr. Exp,,,,,,0.55,0.06,0.04,4.19,49.55,BSHSL
Employee Cost,,,,,,2.13,2.21,3.61,2.64,3.44,BSHSL
Selling and admin,,,,,,1.08,3.14,3.34,3.84,6.25,BSHSL
Other Expenses,,,,,,4.89,0.62,-0.67,-0.03,-0.47,BSHSL
Other Income,,,,,,1.07,0.07,0.48,0.23,0.42,BSHSL
Depreciation,,,,,,0.47,0.69,1.07,1.6,1.67,BSHSL
Interest,,,,,,0.76,1.05,0.96,1.25,1.31,BSHSL
Profit before tax,,,,,,1.29,1.81,2.8,3.47,6.11,BSHSL
Tax,,,,,,0.44,0.63,0.72,0.8,0.31,BSHSL
Net profit,,,,,,0.85,1.18,2.08,2.66,5.8,BSHSL
