Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.05,0.05,8.64,8.64,8.64,8.64,SHIVAMILLS
Reserves,,,,,,11.4,68.91,73.95,73.69,82.08,SHIVAMILLS
Borrowings,,,,,,67.48,57.13,53.56,40.47,3.78,SHIVAMILLS
Other Liabilities,,,,,0.16,87.79,24.39,18.63,17.83,20.19,SHIVAMILLS
Total,,,,,0.21,166.72,159.07,154.78,140.63,114.69,SHIVAMILLS
Net Block,,,,,,82.82,81.4,79.91,75.9,70.39,SHIVAMILLS
Capital Work in Progress,,,,,,0.06,0.01,,,,SHIVAMILLS
Investments,,,,,,0.02,0.03,0.03,0.03,,SHIVAMILLS
Other Assets,,,,,0.21,83.82,77.63,74.84,64.7,44.3,SHIVAMILLS
Total,,,,,0.21,166.72,159.07,154.78,140.63,114.69,SHIVAMILLS
Receivables,,,,,,20.6,19.91,26.84,26.5,10.59,SHIVAMILLS
Inventory,,,,,,46.93,46.08,38.94,33.59,26.9,SHIVAMILLS
Cash & Bank,,,,,0.05,5.41,2.09,4.81,0.42,3.86,SHIVAMILLS
No. of Equity Shares,,,,,50000.0,50000.0,8641808.0,8641808.0,8641808.0,8641808.0,SHIVAMILLS
New Bonus Shares,,,,,,,,,,,SHIVAMILLS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,SHIVAMILLS
