Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,53.79,53.79,MAXIND
Reserves,,,,,,,,,865.38,874.23,MAXIND
Borrowings,,,,,,,,,0.73,0.65,MAXIND
Other Liabilities,,,,,,,,,11.89,10.15,MAXIND
Total,,,,,,,,,931.79,938.82,MAXIND
Net Block,,,,,,,,,93.81,97.82,MAXIND
Capital Work in Progress,,,,,,,,,,,MAXIND
Investments,,,,,,,,,735.03,675.06,MAXIND
Other Assets,,,,,,,,,102.95,165.94,MAXIND
Total,,,,,,,,,931.79,938.82,MAXIND
Receivables,,,,,,,,,4.71,3.54,MAXIND
Inventory,,,,,,,,,,,MAXIND
Cash & Bank,,,,,,,,,0.41,0.92,MAXIND
No. of Equity Shares,,,,,,,,,53786261.0,53786261.0,MAXIND
New Bonus Shares,,,,,,,,,,,MAXIND
Face value,,,,,,,,,10.0,10.0,MAXIND
