Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,24.86,48.48,48.48,48.48,48.48,48.34,GRINFRA
Reserves,,,,,514.24,1090.27,1489.49,2091.94,2778.52,3556.08,GRINFRA
Borrowings,,,,,348.95,395.09,614.85,1060.68,1104.49,1380.96,GRINFRA
Other Liabilities,,,,,508.11,814.45,790.48,1282.97,1259.06,1372.37,GRINFRA
Total,,,,,1396.16,2348.29,2943.3,4484.07,5190.55,6357.75,GRINFRA
Net Block,,,,,285.58,383.38,615.11,902.5,1032.17,1345.15,GRINFRA
Capital Work in Progress,,,,,28.12,16.76,47.51,43.29,27.97,55.48,GRINFRA
Investments,,,,,69.23,201.77,229.49,257.2,254.96,366.95,GRINFRA
Other Assets,,,,,1013.23,1746.38,2051.19,3281.08,3875.45,4590.17,GRINFRA
Total,,,,,1396.16,2348.29,2943.3,4484.07,5190.55,6357.75,GRINFRA
Receivables,,,,,251.93,526.16,650.53,872.7,816.79,867.55,GRINFRA
Inventory,,,,,76.28,220.96,298.62,613.64,768.37,1058.42,GRINFRA
Cash & Bank,,,,,109.85,539.14,236.74,606.42,840.29,541.55,GRINFRA
No. of Equity Shares,,,,,24862108.0,48481110.0,96962220.0,96962220.0,96962220.0,96689010.0,GRINFRA
New Bonus Shares,,,,,,,,,,,GRINFRA
Face value,,,,,10.0,10.0,5.0,5.0,5.0,5.0,GRINFRA
