Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,87.7,89.81,67.89,RATEGAIN
Raw Material Cost,,,,,,,,,,,RATEGAIN
Change in Inventory,,,,,,,,,,,RATEGAIN
Power and Fuel,,,,,,,,0.42,0.56,0.17,RATEGAIN
Other Mfr. Exp,,,,,,,,1.63,9.89,5.06,RATEGAIN
Employee Cost,,,,,,,,66.82,67.32,58.79,RATEGAIN
Selling and admin,,,,,,,,22.03,13.3,5.01,RATEGAIN
Other Expenses,,,,,,,,1.32,1.52,3.99,RATEGAIN
Other Income,,,,,,,,18.78,14.8,16.77,RATEGAIN
Depreciation,,,,,,,,3.09,4.55,4.51,RATEGAIN
Interest,,,,,,,,0.12,0.82,0.78,RATEGAIN
Profit before tax,,,,,,,,11.05,6.65,6.35,RATEGAIN
Tax,,,,,,,,0.69,0.31,2.25,RATEGAIN
Net profit,,,,,,,,10.36,6.34,4.1,RATEGAIN
