Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,58.14,70.27,157.31,180.44,203.22,242.73,260.65,241.82,230.73,MMP
Raw Material Cost,,42.2,50.49,110.98,127.0,147.64,170.25,189.55,173.17,170.22,MMP
Change in Inventory,,2.67,3.05,-3.12,0.24,2.34,-3.08,3.97,9.29,13.89,MMP
Power and Fuel,,4.47,6.39,8.84,10.62,9.84,8.82,11.53,13.73,12.31,MMP
Other Mfr. Exp,,2.63,3.1,7.61,9.13,9.38,9.87,9.15,8.46,8.37,MMP
Employee Cost,,5.8,6.27,8.66,10.84,13.34,16.06,18.13,21.31,21.54,MMP
Selling and admin,,1.51,1.64,4.03,3.48,4.24,4.57,4.98,5.76,5.52,MMP
Other Expenses,,0.19,0.15,1.09,0.24,0.34,0.51,2.12,1.03,0.63,MMP
Other Income,,0.14,0.12,0.24,0.64,5.16,0.67,3.98,2.91,1.02,MMP
Depreciation,,1.09,1.5,1.51,1.62,1.82,2.02,1.94,3.11,4.54,MMP
Interest,,1.72,2.45,6.05,6.62,3.9,3.85,2.78,2.31,1.7,MMP
Profit before tax,,1.34,1.45,5.66,11.77,20.22,24.37,28.42,25.14,20.81,MMP
Tax,,0.51,0.52,1.96,3.99,5.73,9.01,7.87,5.86,5.04,MMP
Net profit,,0.82,0.94,3.71,7.78,14.49,15.37,20.56,19.29,15.78,MMP
