Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,75.41,80.66,174.44,183.26,157.57,195.4,158.14,155.9,152.56,SRPL
Raw Material Cost,,,,157.53,172.75,158.21,191.36,148.41,134.85,147.84,SRPL
Change in Inventory,,,,-8.42,-2.99,7.5,11.89,6.7,-8.28,6.34,SRPL
Power and Fuel,,,,,,,2.69,2.58,1.18,1.39,SRPL
Other Mfr. Exp,,,,,,,0.07,0.26,0.21,0.18,SRPL
Employee Cost,,,,0.35,0.39,0.33,0.44,0.73,0.99,0.99,SRPL
Selling and admin,,,,,,,4.91,3.79,2.63,2.4,SRPL
Other Expenses,,72.32,80.05,0.23,0.35,0.25,0.09,0.03,-0.01,0.32,SRPL
Other Income,,0.05,0.17,0.23,0.31,0.23,0.13,0.24,0.52,0.12,SRPL
Depreciation,,2.34,0.67,2.2,2.0,1.63,1.42,1.29,1.17,1.01,SRPL
Interest,,,,4.74,4.34,3.92,3.55,3.54,3.61,3.79,SRPL
Profit before tax,,0.8,0.11,1.2,0.75,0.96,2.89,4.45,3.51,1.1,SRPL
Tax,,0.16,0.02,-0.17,0.25,0.29,1.08,1.1,0.9,0.26,SRPL
Net profit,,0.64,0.08,1.36,0.51,0.67,1.81,3.34,2.61,0.84,SRPL
