Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.1,,12.26,12.26,GREENPANEL
Reserves,,,,,,,-0.05,668.11,684.63,761.19,GREENPANEL
Borrowings,,,,,,,,578.57,554.79,446.88,GREENPANEL
Other Liabilities,,,,,,,,238.14,240.83,254.71,GREENPANEL
Total,,,,,,,0.05,1484.82,1492.51,1475.04,GREENPANEL
Net Block,,,,,,,,1117.57,1087.92,1042.9,GREENPANEL
Capital Work in Progress,,,,,,,,3.79,5.69,3.58,GREENPANEL
Investments,,,,,,,,47.1,52.45,52.45,GREENPANEL
Other Assets,,,,,,,0.05,316.36,346.45,376.11,GREENPANEL
Total,,,,,,,0.05,1484.82,1492.51,1475.04,GREENPANEL
Receivables,,,,,,,,52.36,70.52,77.76,GREENPANEL
Inventory,,,,,,,,130.81,153.89,149.36,GREENPANEL
Cash & Bank,,,,,,,0.05,18.39,9.66,71.58,GREENPANEL
No. of Equity Shares,,,,,,,1000000.0,,122627395.0,122627395.0,GREENPANEL
New Bonus Shares,,,,,,,,,,,GREENPANEL
Face value,,,,,,,1.0,1.0,1.0,1.0,GREENPANEL
