Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,0.72,213.6,274.81,327.05,260.1,ANANDRATHI
Raw Material Cost,,,,,,,,,,,ANANDRATHI
Change in Inventory,,,,,,,,,,,ANANDRATHI
Power and Fuel,,,,,,,0.37,0.57,0.69,0.63,ANANDRATHI
Other Mfr. Exp,,,,,,0.42,3.29,4.34,7.9,8.03,ANANDRATHI
Employee Cost,,,,,,0.1,99.9,127.44,160.44,144.62,ANANDRATHI
Selling and admin,,,,,,0.01,27.62,45.17,38.8,24.86,ANANDRATHI
Other Expenses,,,,,,,4.53,2.34,5.48,6.63,ANANDRATHI
Other Income,,,,,,,5.68,5.75,1.01,2.16,ANANDRATHI
Depreciation,,,,,,,3.52,3.85,15.75,12.39,ANANDRATHI
Interest,,,,,,,8.73,3.33,3.24,2.75,ANANDRATHI
Profit before tax,,,,,,0.19,71.32,93.52,95.76,62.35,ANANDRATHI
Tax,,,,,,0.04,20.98,28.36,24.48,18.16,ANANDRATHI
Net profit,,,,,,0.16,50.34,65.16,71.28,44.19,ANANDRATHI
