Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,750.27,885.08,1023.79,1031.96,843.99,TCIEXP
Raw Material Cost,,,,,,,,,,,TCIEXP
Change in Inventory,,,,,,,,,,,TCIEXP
Power and Fuel,,,,,,2.34,2.17,2.68,3.19,2.71,TCIEXP
Other Mfr. Exp,,,,,,588.01,674.79,764.14,742.28,573.99,TCIEXP
Employee Cost,,,,,,59.02,72.77,86.2,102.25,87.87,TCIEXP
Selling and admin,,,,,,32.71,38.95,45.52,54.12,40.22,TCIEXP
Other Expenses,,,,,0.01,6.15,5.26,5.92,8.52,4.68,TCIEXP
Other Income,,,,,,1.22,1.6,2.85,4.07,7.45,TCIEXP
Depreciation,,,,,,4.31,5.21,6.53,7.79,8.97,TCIEXP
Interest,,,,,,2.44,3.76,3.78,0.9,0.78,TCIEXP
Profit before tax,,,,,-0.01,56.51,83.77,111.87,116.98,132.22,TCIEXP
Tax,,,,,,19.02,25.37,39.03,27.9,31.62,TCIEXP
Net profit,,,,,-0.01,37.49,58.4,72.84,89.08,100.6,TCIEXP
