Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,30.0,30.22,30.44,30.44,30.44,SJS
Reserves,,,,,,98.42,147.62,208.12,249.21,284.78,SJS
Borrowings,,,,,,0.22,15.57,23.3,6.18,9.22,SJS
Other Liabilities,,,,,,32.95,39.81,42.19,46.43,59.11,SJS
Total,,,,,,161.59,233.22,304.05,332.26,383.55,SJS
Net Block,,,,,,35.29,35.53,157.79,160.18,155.19,SJS
Capital Work in Progress,,,,,,7.54,52.85,0.18,0.25,4.25,SJS
Investments,,,,,,42.28,55.98,55.04,69.56,81.47,SJS
Other Assets,,,,,,76.48,88.86,91.04,102.27,142.64,SJS
Total,,,,,,161.59,233.22,304.05,332.26,383.55,SJS
Receivables,,,,,,27.24,48.61,45.77,44.83,59.73,SJS
Inventory,,,,,,16.53,24.52,24.71,27.76,33.24,SJS
Cash & Bank,,,,,,22.84,2.6,2.9,10.76,37.61,SJS
No. of Equity Shares,,,,,,30000000.0,30218952.0,30437904.0,30437904.0,30437904.0,SJS
New Bonus Shares,,,,,,27000000.0,,,,,SJS
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,SJS
