Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2019-12-31 00:00:00,2020-12-31 00:00:00,Company_Name
Sales,,,,,,,,,3236.06,3420.44,POWERINDIA
Raw Material Cost,,,,,,,,,1702.7,1824.31,POWERINDIA
Change in Inventory,,,,,,,,,-55.55,63.73,POWERINDIA
Power and Fuel,,,,,,,,,42.58,52.14,POWERINDIA
Other Mfr. Exp,,,,,,,,,335.79,353.66,POWERINDIA
Employee Cost,,,,,,,,,255.2,370.61,POWERINDIA
Selling and admin,,,,,,,,,471.56,547.0,POWERINDIA
Other Expenses,,,,,,,,,35.19,67.8,POWERINDIA
Other Income,,,,,,,,,-40.66,-17.65,POWERINDIA
Depreciation,,,,,,,,,48.41,77.17,POWERINDIA
Interest,,,,,,,,,27.77,37.55,POWERINDIA
Profit before tax,,,,,,,,,220.65,136.28,POWERINDIA
Tax,,,,,,,,,55.26,36.48,POWERINDIA
Net profit,,,,,,,,,165.39,99.8,POWERINDIA
