Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,10.47,10.47,10.47,10.47,12.31,12.31,13.48,13.48,15.28,VARROC
Reserves,,497.82,827.06,284.39,672.88,932.91,998.07,1115.28,1123.85,1901.68,VARROC
Borrowings,,529.3,444.99,1070.35,717.42,483.0,476.56,394.26,531.14,525.87,VARROC
Other Liabilities,,300.98,371.65,298.02,346.2,330.65,473.09,515.42,795.85,884.26,VARROC
Total,,1338.57,1654.17,1663.23,1746.97,1758.87,1960.03,2038.44,2464.32,3327.09,VARROC
Net Block,,438.45,547.13,726.52,751.77,793.89,800.97,881.78,1035.49,1009.09,VARROC
Capital Work in Progress,,257.64,210.05,32.07,45.03,25.33,22.31,53.62,108.06,157.18,VARROC
Investments,,251.54,504.19,469.09,476.65,464.72,464.73,464.75,440.98,1022.96,VARROC
Other Assets,,390.94,392.8,435.55,473.52,474.93,672.02,638.29,879.79,1137.86,VARROC
Total,,1338.57,1654.17,1663.23,1746.97,1758.87,1960.03,2038.44,2464.32,3327.09,VARROC
Receivables,,203.66,150.53,180.49,230.73,251.74,388.84,306.05,253.29,362.82,VARROC
Inventory,,100.92,123.51,147.43,163.85,173.15,194.69,225.77,265.62,312.1,VARROC
Cash & Bank,,11.23,9.24,18.04,14.99,3.13,8.59,6.74,125.96,247.39,VARROC
No. of Equity Shares,,10465849.0,10465851.0,10465851.0,10465851.0,12312766.0,123127760.0,134811530.0,134811530.0,152786400.0,VARROC
New Bonus Shares,,,,,,,,,,,VARROC
Face value,,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,VARROC
