Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,353.24,173.3,212.71,452.31,262.9,124.56,SHRIRAMPPS
Raw Material Cost,,,,,,,,,,,SHRIRAMPPS
Change in Inventory,,,,,-107.75,39.73,-49.87,-270.14,-130.05,-34.77,SHRIRAMPPS
Power and Fuel,,,,,0.37,0.56,0.73,0.9,0.91,0.58,SHRIRAMPPS
Other Mfr. Exp,,,,,170.14,152.64,138.36,105.95,49.69,29.3,SHRIRAMPPS
Employee Cost,,,,,28.21,25.78,36.9,67.74,72.94,52.92,SHRIRAMPPS
Selling and admin,,,,,23.97,24.24,36.13,25.4,27.35,15.2,SHRIRAMPPS
Other Expenses,,,,,30.48,35.27,263.9,10.24,24.87,58.83,SHRIRAMPPS
Other Income,,,,,55.09,235.5,542.83,98.81,110.62,119.42,SHRIRAMPPS
Depreciation,,,,,2.18,1.5,1.46,1.59,2.17,2.89,SHRIRAMPPS
Interest,,,,,223.21,146.41,37.16,43.89,46.0,45.6,SHRIRAMPPS
Profit before tax,,,,,-177.98,62.13,191.03,25.27,19.54,3.89,SHRIRAMPPS
Tax,,,,,-0.01,2.65,24.24,0.12,9.69,-11.16,SHRIRAMPPS
Net profit,,,,,-177.97,59.48,166.79,25.16,9.85,15.06,SHRIRAMPPS
