Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,78.36,78.68,92.26,92.45,123.73,INDOSTAR
Reserves,,,,,,1822.05,2005.32,2937.64,2596.2,3543.17,INDOSTAR
Borrowings,,,,,,3373.29,4822.75,9030.79,7087.23,5760.67,INDOSTAR
Other Liabilities,,,,,,211.67,286.94,216.96,287.4,359.72,INDOSTAR
Total,,,,,,5485.37,7193.69,12277.65,10063.28,9787.29,INDOSTAR
Net Block,,,,,,8.8,53.26,366.99,380.07,362.88,INDOSTAR
Capital Work in Progress,,,,,,,8.3,,,,INDOSTAR
Investments,,,,,,196.98,1067.05,501.59,431.84,1788.49,INDOSTAR
Other Assets,,,,,,5279.59,6065.08,11409.07,9251.37,7635.92,INDOSTAR
Total,,,,,,5485.37,7193.69,12277.65,10063.28,9787.29,INDOSTAR
Receivables,,,,,,,,,,,INDOSTAR
Inventory,,,,,,,,,,,INDOSTAR
Cash & Bank,,,,,,54.42,122.45,1084.38,523.73,506.98,INDOSTAR
No. of Equity Shares,,,,,,78361799.0,78679259.0,92257415.0,92450915.0,123730329.0,INDOSTAR
New Bonus Shares,,,,,,,,,,,INDOSTAR
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,INDOSTAR
