Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,9.8,14.89,104.13,33.93,37.85,31.11,MAXVIL
Raw Material Cost,,,,,,,,,,,MAXVIL
Change in Inventory,,,,,,,,,,,MAXVIL
Power and Fuel,,,,,,,0.29,0.37,0.11,0.07,MAXVIL
Other Mfr. Exp,,,,,,0.83,0.73,0.9,1.28,1.71,MAXVIL
Employee Cost,,,,,2.28,7.36,7.7,8.11,9.35,9.15,MAXVIL
Selling and admin,,,,,4.11,6.7,9.35,8.84,5.75,4.49,MAXVIL
Other Expenses,,,,,0.12,0.51,9.12,3.61,0.27,0.16,MAXVIL
Other Income,,,,,,,,,,0.14,MAXVIL
Depreciation,,,,,0.07,0.05,0.13,0.19,3.04,3.71,MAXVIL
Interest,,,,,,2.09,0.01,0.96,3.01,3.33,MAXVIL
Profit before tax,,,,,3.22,-2.65,76.8,10.95,15.04,8.63,MAXVIL
Tax,,,,,0.34,0.21,16.79,2.05,3.65,1.66,MAXVIL
Net profit,,,,,2.88,-2.87,60.01,8.91,11.39,6.98,MAXVIL
