Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,16.47,21.67,28.41,31.89,SILGO
Raw Material Cost,,,,,,,14.57,16.86,23.68,27.42,SILGO
Change in Inventory,,,,,,,1.13,-0.51,1.14,3.39,SILGO
Power and Fuel,,,,,,,0.03,0.09,0.1,0.1,SILGO
Other Mfr. Exp,,,,,,,0.37,0.75,0.94,1.94,SILGO
Employee Cost,,,,,,,0.45,0.82,0.85,0.9,SILGO
Selling and admin,,,,,,,0.33,0.62,0.63,0.74,SILGO
Other Expenses,,,,,,,,0.04,0.07,0.15,SILGO
Other Income,,,,,,,,,0.02,,SILGO
Depreciation,,,,,,,0.06,0.1,0.13,0.1,SILGO
Interest,,,,,,,0.46,0.01,0.5,0.95,SILGO
Profit before tax,,,,,,,1.33,1.87,2.67,2.98,SILGO
Tax,,,,,,,0.37,0.64,0.71,0.78,SILGO
Net profit,,,,,,,0.95,1.23,1.97,2.2,SILGO
