Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,587.31,859.79,1019.97,GREENPANEL
Raw Material Cost,,,,,,,,288.87,392.71,436.39,GREENPANEL
Change in Inventory,,,,,,,,39.4,10.87,-25.14,GREENPANEL
Power and Fuel,,,,,,,,67.48,100.87,99.23,GREENPANEL
Other Mfr. Exp,,,,,,,,23.28,26.29,25.97,GREENPANEL
Employee Cost,,,,,,,,74.89,92.98,93.0,GREENPANEL
Selling and admin,,,,,,,,70.88,95.6,115.63,GREENPANEL
Other Expenses,,,,,,,0.05,17.91,26.59,19.52,GREENPANEL
Other Income,,,,,,,,12.76,-9.12,2.31,GREENPANEL
Depreciation,,,,,,,,50.32,65.38,63.87,GREENPANEL
Interest,,,,,,,,23.91,47.67,35.2,GREENPANEL
Profit before tax,,,,,,,-0.05,21.93,13.45,108.33,GREENPANEL
Tax,,,,,,,,-22.19,-2.75,32.16,GREENPANEL
Net profit,,,,,,,-0.05,44.13,16.2,76.17,GREENPANEL
