Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2003-03-31 00:00:00,2004-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,3.99,8.1,735.49,703.72,625.34,748.29,IIFLSEC
Raw Material Cost,,,,,,,,,,,IIFLSEC
Change in Inventory,,,,,,,,,,,IIFLSEC
Power and Fuel,,,,,0.07,0.03,4.52,,6.19,3.45,IIFLSEC
Other Mfr. Exp,,,,,0.03,0.01,121.54,110.7,111.93,151.97,IIFLSEC
Employee Cost,,,,,0.96,0.93,181.18,213.52,192.6,195.91,IIFLSEC
Selling and admin,,,,,3.93,5.93,91.35,98.53,72.86,85.29,IIFLSEC
Other Expenses,,,,,0.21,0.02,54.56,4.07,-18.59,37.04,IIFLSEC
Other Income,,,,,0.32,0.07,7.14,2.09,18.26,11.79,IIFLSEC
Depreciation,,,,,0.23,0.28,10.73,11.63,48.06,44.29,IIFLSEC
Interest,,,,,0.02,,37.48,51.08,31.88,19.8,IIFLSEC
Profit before tax,,,,,-1.14,0.97,241.27,216.28,198.67,222.33,IIFLSEC
Tax,,,,,,0.02,83.77,71.34,56.05,49.49,IIFLSEC
Net profit,,,,,-1.14,0.95,157.51,144.94,142.62,172.84,IIFLSEC
