Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,715.54,786.94,1177.17,1540.01,1190.78,INDOSTAR
Raw Material Cost,,,,,,,,,,,INDOSTAR
Change in Inventory,,,,,,,,,,,INDOSTAR
Power and Fuel,,,,,,,,,,,INDOSTAR
Other Mfr. Exp,,,,,,,,,,,INDOSTAR
Employee Cost,,,,,,48.01,98.01,123.36,165.8,155.86,INDOSTAR
Selling and admin,,,,,,19.17,36.06,64.62,73.88,108.82,INDOSTAR
Other Expenses,,,,,,14.2,-2.19,18.32,862.21,455.81,INDOSTAR
Other Income,,,,,,-0.01,-0.94,-0.19,-0.19,-3.65,INDOSTAR
Depreciation,,,,,,1.87,4.48,16.72,28.24,31.49,INDOSTAR
Interest,,,,,,311.85,325.55,561.3,857.36,692.25,INDOSTAR
Profit before tax,,,,,,320.43,324.09,392.66,-447.67,-257.1,INDOSTAR
Tax,,,,,,111.39,112.15,137.54,-107.57,-15.64,INDOSTAR
Net profit,,,,,,209.04,211.94,255.13,-340.09,-241.47,INDOSTAR
