Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,582.46,737.35,795.55,987.17,976.25,284.32,CHALET
Raw Material Cost,,,,,,,80.5,86.67,82.34,23.45,CHALET
Change in Inventory,,,,,,,30.69,-23.97,-2.33,,CHALET
Power and Fuel,,,,,61.23,54.5,62.74,66.84,64.21,31.15,CHALET
Other Mfr. Exp,,,,,136.5,132.48,133.43,133.72,138.89,56.13,CHALET
Employee Cost,,,,,106.76,118.87,128.15,145.11,150.49,85.94,CHALET
Selling and admin,,,,,120.36,157.24,160.39,160.12,154.35,63.27,CHALET
Other Expenses,,,,,16.5,161.01,15.94,50.6,63.29,14.4,CHALET
Other Income,,,,,6.8,310.91,-77.02,39.5,18.47,16.54,CHALET
Depreciation,,,,,98.81,126.98,111.63,115.42,111.37,107.63,CHALET
Interest,,,,,215.73,215.36,209.26,265.15,144.61,145.01,CHALET
Profit before tax,,,,,-166.63,81.82,-152.82,-20.93,82.84,-226.12,CHALET
Tax,,,,,-53.52,-48.32,-51.95,-10.72,1.23,-109.32,CHALET
Net profit,,,,,-113.11,130.14,-100.87,-10.21,81.61,-116.8,CHALET
