Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,70.4,71.63,50.15,74.49,74.49,77.59,KIMS
Reserves,,,,,190.63,252.47,-249.21,429.44,549.33,829.73,KIMS
Borrowings,,,,,250.87,276.69,665.73,187.19,186.13,131.33,KIMS
Other Liabilities,,,,,134.22,152.51,322.73,165.69,147.5,175.07,KIMS
Total,,,,,646.12,753.3,789.4,856.81,957.45,1213.72,KIMS
Net Block,,,,,497.88,501.23,575.69,566.79,559.21,582.39,KIMS
Capital Work in Progress,,,,,2.31,63.55,,0.23,2.23,7.6,KIMS
Investments,,,,,18.19,21.97,31.49,79.62,177.96,213.22,KIMS
Other Assets,,,,,127.74,166.55,182.22,210.17,218.05,410.51,KIMS
Total,,,,,646.12,753.3,789.4,856.81,957.45,1213.72,KIMS
Receivables,,,,,61.69,86.34,96.01,100.03,99.15,73.0,KIMS
Inventory,,,,,11.27,15.3,16.28,18.97,21.71,16.47,KIMS
Cash & Bank,,,,,6.74,8.08,8.83,8.37,39.48,250.02,KIMS
No. of Equity Shares,,,,,70403856.0,71624596.0,50149732.0,74489552.0,74489552.0,77593283.0,KIMS
New Bonus Shares,,,,,61603374.0,,,,,,KIMS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,KIMS
