Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,264.32,325.86,465.77,AARTISURF
Raw Material Cost,,,,,,,,212.83,248.38,356.15,AARTISURF
Change in Inventory,,,,,,,,15.84,1.07,4.77,AARTISURF
Power and Fuel,,,,,,,,10.7,12.32,13.88,AARTISURF
Other Mfr. Exp,,,,,,,,34.44,21.16,23.82,AARTISURF
Employee Cost,,,,,,,,11.4,14.3,15.71,AARTISURF
Selling and admin,,,,,,,,5.63,7.16,15.26,AARTISURF
Other Expenses,,,,,,,,-0.01,0.01,0.21,AARTISURF
Other Income,,,,,,,,0.07,0.21,0.06,AARTISURF
Depreciation,,,,,,,,8.8,10.58,12.21,AARTISURF
Interest,,,,,,,,2.42,10.28,10.44,AARTISURF
Profit before tax,,,,,,,,-5.98,2.95,22.92,AARTISURF
Tax,,,,,,,,0.5,0.86,1.28,AARTISURF
Net profit,,,,,,,,-6.48,2.09,21.64,AARTISURF
