Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,1872.86,2335.8,2130.17,2559.4,2710.52,AVADHSUGAR
Raw Material Cost,,,,,,1431.86,1772.44,1942.77,2025.11,1986.01,AVADHSUGAR
Change in Inventory,,,,,,202.65,-32.57,415.31,51.03,-141.71,AVADHSUGAR
Power and Fuel,,,,,,7.4,9.13,7.86,6.35,2.72,AVADHSUGAR
Other Mfr. Exp,,,,,,72.47,89.5,107.84,105.95,106.19,AVADHSUGAR
Employee Cost,,,,,,77.16,78.76,85.72,92.47,97.96,AVADHSUGAR
Selling and admin,,,,,,34.19,60.46,83.09,86.87,92.84,AVADHSUGAR
Other Expenses,,,,,0.01,20.54,23.36,26.47,31.82,23.46,AVADHSUGAR
Other Income,,,,,,-1.62,3.41,3.21,5.22,6.06,AVADHSUGAR
Depreciation,,,,,,45.94,44.46,43.65,44.87,48.31,AVADHSUGAR
Interest,,,,,,137.78,114.28,96.92,116.05,116.02,AVADHSUGAR
Profit before tax,,,,,-0.01,246.55,114.25,154.37,106.16,101.36,AVADHSUGAR
Tax,,,,,,43.23,26.08,34.49,17.55,23.78,AVADHSUGAR
Net profit,,,,,-0.01,203.32,88.16,119.87,88.62,77.58,AVADHSUGAR
