Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2010-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,363.46,773.28,661.69,710.85,712.88,813.23,MIDHANI
Raw Material Cost,,,,,135.66,193.83,153.55,292.76,376.61,170.07,MIDHANI
Change in Inventory,,,,,2.03,-77.64,35.99,103.99,257.23,-41.59,MIDHANI
Power and Fuel,,,,,24.42,59.3,53.95,56.24,62.02,42.32,MIDHANI
Other Mfr. Exp,,,,,45.53,98.19,119.03,125.1,158.53,152.52,MIDHANI
Employee Cost,,,,,92.49,109.39,128.43,108.52,123.56,121.01,MIDHANI
Selling and admin,,,,,7.4,38.82,41.62,37.24,42.94,33.72,MIDHANI
Other Expenses,,,,,6.0,10.08,9.7,10.43,7.41,6.05,MIDHANI
Other Income,,,,,18.69,23.38,35.58,36.89,36.44,19.83,MIDHANI
Depreciation,,,,,3.25,17.66,19.64,23.19,26.11,27.0,MIDHANI
Interest,,,,,1.76,5.39,9.09,7.2,7.28,12.69,MIDHANI
Profit before tax,,,,,67.67,186.36,198.25,191.05,202.09,226.09,MIDHANI
Tax,,,,,23.05,60.04,66.99,60.49,42.35,59.8,MIDHANI
Net profit,,,,,44.62,126.31,131.26,130.56,159.73,166.29,MIDHANI
