Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,,668.93,JUBLINGREA
Raw Material Cost,,,,,,,,,,377.98,JUBLINGREA
Change in Inventory,,,,,,,,,,-9.93,JUBLINGREA
Power and Fuel,,,,,,,,,,52.79,JUBLINGREA
Other Mfr. Exp,,,,,,,,,,59.93,JUBLINGREA
Employee Cost,,,,,,,,,,43.11,JUBLINGREA
Selling and admin,,,,,,,,,0.17,24.06,JUBLINGREA
Other Expenses,,,,,,,,,,4.3,JUBLINGREA
Other Income,,,,,,,,,,-10.49,JUBLINGREA
Depreciation,,,,,,,,,,21.35,JUBLINGREA
Interest,,,,,,,,,,9.45,JUBLINGREA
Profit before tax,,,,,,,,,-0.17,55.54,JUBLINGREA
Tax,,,,,,,,,,16.95,JUBLINGREA
Net profit,,,,,,,,,-0.17,38.59,JUBLINGREA
