Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,362.14,386.99,455.58,455.58,455.58,490.64,548.09,STARHEALTH
Reserves,,,,-220.29,-26.89,333.86,504.01,422.62,1153.04,2951.26,STARHEALTH
Borrowings,,,,,,,250.0,250.0,250.0,250.0,STARHEALTH
Other Liabilities,,,,953.93,1012.0,1423.18,2137.58,3744.26,4233.05,6751.64,STARHEALTH
Total,,,,1095.78,1372.1,2212.62,3347.17,4872.46,6126.73,10500.99,STARHEALTH
Net Block,,,,46.18,62.21,76.97,92.34,84.59,90.14,79.73,STARHEALTH
Capital Work in Progress,,,,12.29,3.2,6.84,4.62,13.48,11.73,19.25,STARHEALTH
Investments,,,,501.84,806.71,1428.48,2164.72,3030.1,4289.95,6836.69,STARHEALTH
Other Assets,,,,535.47,499.98,700.33,1085.49,1744.29,1734.91,3565.32,STARHEALTH
Total,,,,1095.78,1372.1,2212.62,3347.17,4872.46,6126.73,10500.99,STARHEALTH
Receivables,,,,,,,,,,,STARHEALTH
Inventory,,,,,,,,,,,STARHEALTH
Cash & Bank,,,,327.79,271.94,331.11,502.0,893.02,611.44,1879.0,STARHEALTH
No. of Equity Shares,,,,362732365.0,386992109.0,455576106.0,455576106.0,455576106.0,490638013.0,548086885.0,STARHEALTH
New Bonus Shares,,,,,,,,,,,STARHEALTH
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,STARHEALTH
