Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,184.28,225.56,237.25,216.17,251.62,SJS
Raw Material Cost,,,,,,70.21,88.49,94.81,84.47,99.03,SJS
Change in Inventory,,,,,,0.99,4.45,-0.31,2.11,1.85,SJS
Power and Fuel,,,,,,2.71,3.38,5.37,5.67,5.18,SJS
Other Mfr. Exp,,,,,,10.27,14.03,18.9,19.05,21.82,SJS
Employee Cost,,,,,,22.53,27.72,31.66,32.91,36.07,SJS
Selling and admin,,,,,,17.93,21.31,15.72,10.22,11.57,SJS
Other Expenses,,,,,,2.61,1.37,1.73,2.03,2.11,SJS
Other Income,,,,,,7.08,2.99,-4.1,4.97,2.51,SJS
Depreciation,,,,,,4.82,5.08,9.7,12.77,14.75,SJS
Interest,,,,,,0.87,1.07,1.99,1.78,1.27,SJS
Profit before tax,,,,,,60.4,70.55,52.96,54.35,64.18,SJS
Tax,,,,,,21.45,23.31,15.36,13.06,16.41,SJS
Net profit,,,,,,38.96,47.23,37.6,41.29,47.77,SJS
