Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,1.59,1.76,37.25,7.92,1.75,,0.08,SHRADHA
Raw Material Cost,,,,,,,,1.24,,0.08,SHRADHA
Change in Inventory,,,,,,-21.48,-5.62,,,,SHRADHA
Power and Fuel,,,,,,,,,,,SHRADHA
Other Mfr. Exp,,,,,,11.2,0.22,,,,SHRADHA
Employee Cost,,,,,,2.41,0.1,0.19,0.21,0.61,SHRADHA
Selling and admin,,,,,,0.24,0.19,0.25,0.19,,SHRADHA
Other Expenses,,,,0.18,0.48,-0.01,,0.02,0.01,0.25,SHRADHA
Other Income,,,,0.04,1.09,3.4,2.67,3.35,2.62,2.74,SHRADHA
Depreciation,,,,0.15,0.17,0.16,0.14,0.14,0.12,0.11,SHRADHA
Interest,,,,0.06,0.03,,0.01,,,0.01,SHRADHA
Profit before tax,,,,1.24,2.17,5.17,4.31,3.26,2.09,1.76,SHRADHA
Tax,,,,0.13,0.95,0.67,0.84,0.83,0.53,0.38,SHRADHA
Net profit,,,,1.12,1.21,4.5,3.46,2.43,1.55,1.38,SHRADHA
