Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,63.41,78.04,98.13,193.45,209.44,287.66,323.23,205.92,199.87,MARINE
Raw Material Cost,,,,,120.79,131.25,237.36,269.14,167.59,144.36,MARINE
Change in Inventory,,,,,0.34,1.3,7.83,5.28,17.27,1.99,MARINE
Power and Fuel,,,,,,,0.85,0.85,0.86,0.64,MARINE
Other Mfr. Exp,,,,,21.8,23.43,2.48,5.25,3.37,3.69,MARINE
Employee Cost,,,,,15.14,15.84,16.9,17.17,20.21,17.69,MARINE
Selling and admin,,,,,0.13,0.13,10.71,14.0,11.21,9.02,MARINE
Other Expenses,,54.05,69.98,87.34,17.62,19.36,2.52,4.24,3.25,3.82,MARINE
Other Income,,,,,1.83,2.4,1.92,2.82,6.36,3.59,MARINE
Depreciation,,1.28,1.32,1.31,4.83,4.37,3.92,3.44,8.28,7.64,MARINE
Interest,,1.56,1.84,2.69,2.68,4.02,4.98,6.3,8.78,7.73,MARINE
Profit before tax,,6.52,4.9,6.79,12.63,14.74,17.69,10.94,6.0,10.86,MARINE
Tax,,2.17,0.22,2.08,4.7,6.13,5.96,3.16,1.26,3.03,MARINE
Net profit,,4.35,4.68,4.71,7.93,8.61,11.72,7.78,4.75,7.83,MARINE
