Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,2494.29,3146.54,4539.85,5915.11,7556.56,10060.07,14530.58,15403.65,RVNL
Raw Material Cost,,,,,,,,,,,RVNL
Change in Inventory,,,,,,,,,,,RVNL
Power and Fuel,,,1.38,1.51,1.7,1.94,2.15,2.9,3.37,2.46,RVNL
Other Mfr. Exp,,,2310.23,2895.73,4188.94,5467.85,6989.25,9299.05,13415.82,14229.58,RVNL
Employee Cost,,,62.91,77.12,96.71,117.02,140.34,161.11,189.94,207.76,RVNL
Selling and admin,,,19.86,18.56,23.69,32.74,25.42,42.47,44.86,37.79,RVNL
Other Expenses,,,7.46,8.0,11.45,13.76,16.86,23.57,90.06,45.95,RVNL
Other Income,,,105.15,123.12,180.24,247.57,231.16,285.06,265.58,326.75,RVNL
Depreciation,,,5.93,5.12,4.67,5.01,4.83,5.74,20.29,22.92,RVNL
Interest,,,,15.28,23.08,35.45,44.72,51.98,40.99,28.27,RVNL
Profit before tax,,,191.67,248.34,369.85,488.91,564.15,758.31,990.83,1155.67,RVNL
Tax,,,29.98,39.7,69.49,99.78,94.49,151.72,200.98,215.12,RVNL
Net profit,,,161.7,208.64,300.37,389.13,469.66,606.59,789.85,940.55,RVNL
