Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,148.41,148.41,148.11,148.11,148.11,148.11,SHRIRAMPPS
Reserves,,,,,-635.3,915.5,1087.51,1116.86,1127.41,1143.65,SHRIRAMPPS
Borrowings,,,,,239.69,235.39,339.42,384.76,300.84,260.68,SHRIRAMPPS
Other Liabilities,,,,,1906.61,359.17,808.18,502.11,441.37,398.72,SHRIRAMPPS
Total,,,,,1659.41,1658.47,2383.22,2151.84,2017.73,1951.16,SHRIRAMPPS
Net Block,,,,,2.8,3.47,2.84,30.57,55.92,54.3,SHRIRAMPPS
Capital Work in Progress,,,,,,,,8.06,,,SHRIRAMPPS
Investments,,,,,835.32,803.38,835.89,645.0,561.91,535.59,SHRIRAMPPS
Other Assets,,,,,821.29,851.62,1544.49,1468.21,1399.9,1361.27,SHRIRAMPPS
Total,,,,,1659.41,1658.47,2383.22,2151.84,2017.73,1951.16,SHRIRAMPPS
Receivables,,,,,19.12,24.3,56.91,47.53,22.72,39.5,SHRIRAMPPS
Inventory,,,,,246.49,286.22,668.39,414.23,284.18,258.32,SHRIRAMPPS
Cash & Bank,,,,,11.74,8.66,32.97,12.21,21.61,9.87,SHRIRAMPPS
No. of Equity Shares,,,,,148411448.0,148411448.0,148411448.0,148411448.0,148411448.0,148411448.0,SHRIRAMPPS
New Bonus Shares,,,,,,,,,,,SHRIRAMPPS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,SHRIRAMPPS
