Report Date,Unnamed: 1,2012-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.05,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,GENUSPAPER
Reserves,,,276.89,286.49,291.24,313.84,329.11,328.79,333.59,339.64,GENUSPAPER
Borrowings,,,43.33,60.29,65.98,51.02,73.69,56.26,55.32,40.25,GENUSPAPER
Other Liabilities,,0.01,50.51,61.62,49.66,78.65,85.23,50.14,51.76,62.67,GENUSPAPER
Total,,0.06,396.44,434.11,432.59,469.22,513.74,460.9,466.38,468.27,GENUSPAPER
Net Block,,,174.44,207.22,209.45,229.18,218.22,212.43,208.89,199.41,GENUSPAPER
Capital Work in Progress,,,12.18,1.83,,,2.8,,,1.49,GENUSPAPER
Investments,,,14.27,31.18,24.76,42.41,75.21,95.92,88.84,83.17,GENUSPAPER
Other Assets,,0.06,195.55,193.88,198.38,197.63,217.51,152.55,168.65,184.2,GENUSPAPER
Total,,0.06,396.44,434.11,432.59,469.22,513.74,460.9,466.38,468.27,GENUSPAPER
Receivables,,,41.57,51.32,63.39,63.91,76.81,47.43,57.61,61.72,GENUSPAPER
Inventory,,,44.34,58.03,34.98,26.95,34.42,26.49,47.33,42.83,GENUSPAPER
Cash & Bank,,0.05,6.21,13.14,8.62,8.8,4.39,12.18,4.96,26.82,GENUSPAPER
No. of Equity Shares,,500000.0,257125940.0,257125940.0,257125940.0,257125940.0,257125940.0,257125940.0,257125940.0,257125940.0,GENUSPAPER
New Bonus Shares,,,,,,,,,,,GENUSPAPER
Face value,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GENUSPAPER
