Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,2020-03-31 00:00:00,Company_Name
Sales,,,,,,,,,,45.66,CTE
Raw Material Cost,,,,,,,,,,31.95,CTE
Change in Inventory,,,,,,,,,,1.58,CTE
Power and Fuel,,,,,,,,,,,CTE
Other Mfr. Exp,,,,,,,,,,,CTE
Employee Cost,,,,,,,,,,1.08,CTE
Selling and admin,,,,,,,,,,,CTE
Other Expenses,,,,,,,,,,0.99,CTE
Other Income,,,,,,,,,,0.27,CTE
Depreciation,,,,,,,,,,7.69,CTE
Interest,,,,,,,,,,5.78,CTE
Profit before tax,,,,,,,,,,0.02,CTE
Tax,,,,,,,,,,-0.22,CTE
Net profit,,,,,,,,,,0.24,CTE
