Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,377.83,833.79,1009.72,SUVENPHAR
Raw Material Cost,,,,,,,,124.52,240.24,310.32,SUVENPHAR
Change in Inventory,,,,,,,,21.32,11.05,8.37,SUVENPHAR
Power and Fuel,,,,,,,,18.06,38.24,44.2,SUVENPHAR
Other Mfr. Exp,,,,,,,,33.83,66.49,90.76,SUVENPHAR
Employee Cost,,,,,,,,29.63,65.1,76.23,SUVENPHAR
Selling and admin,,,,,,,,16.23,44.72,44.93,SUVENPHAR
Other Expenses,,,,,,,,5.33,5.24,8.61,SUVENPHAR
Other Income,,,,,,,,0.6,18.1,14.24,SUVENPHAR
Depreciation,,,,,,,,11.5,23.51,31.64,SUVENPHAR
Interest,,,,,,,,2.79,21.81,11.66,SUVENPHAR
Profit before tax,,,,,,,,157.86,357.59,413.98,SUVENPHAR
Tax,,,,,,,,48.59,87.51,105.34,SUVENPHAR
Net profit,,,,,,,,109.27,270.08,308.65,SUVENPHAR
