Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2012-03-31 00:00:00,2013-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,148.24,222.52,216.9,1467.88,1831.61,2703.6,2806.07,UJJIVANSFB
Raw Material Cost,,,,,,,,,,,UJJIVANSFB
Change in Inventory,,,,,,,,,,,UJJIVANSFB
Power and Fuel,,,,,,,,,,,UJJIVANSFB
Other Mfr. Exp,,,,0.77,0.96,6.28,50.36,71.37,74.92,74.52,UJJIVANSFB
Employee Cost,,,,60.17,65.76,50.94,361.05,519.69,719.95,750.13,UJJIVANSFB
Selling and admin,,,,24.61,25.42,14.11,97.34,187.28,236.62,154.09,UJJIVANSFB
Other Expenses,,,,7.53,9.44,39.41,413.53,274.22,385.44,973.64,UJJIVANSFB
Other Income,,,,8.03,11.36,9.2,111.48,205.96,322.21,310.82,UJJIVANSFB
Depreciation,,,,2.4,2.52,5.1,41.37,60.6,72.63,76.8,UJJIVANSFB
Interest,,,,58.59,80.62,109.36,606.86,725.2,1070.01,1077.51,UJJIVANSFB
Profit before tax,,,,2.2,49.16,0.9,8.85,199.21,466.24,10.2,UJJIVANSFB
Tax,,,,0.48,15.3,0.85,1.98,,116.32,1.9,UJJIVANSFB
Net profit,,,,1.71,33.85,0.04,6.86,199.22,349.92,8.3,UJJIVANSFB
