Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,9478.27,10869.07,13234.8,15103.62,19320.25,19691.72,27513.82,28199.29,30930.39,NIACL
Raw Material Cost,,,,,,,,,,,NIACL
Change in Inventory,,,,,,,,,,,NIACL
Power and Fuel,,,,,,,,,,,NIACL
Other Mfr. Exp,,8164.99,9453.59,11262.72,13260.96,16265.07,16958.43,22695.68,23806.38,24553.52,NIACL
Employee Cost,,1677.61,1898.95,2075.01,2426.84,2215.49,2267.37,2902.05,2691.29,4247.9,NIACL
Selling and admin,,1351.59,1771.46,2025.08,2304.06,1371.0,2723.04,710.85,1739.86,1075.93,NIACL
Other Expenses,,20.4,27.04,153.26,70.04,-7.71,2515.66,1523.58,1027.56,1618.47,NIACL
Other Income,,2814.36,3240.63,4003.56,4030.65,1737.58,7578.56,1050.52,2795.31,2700.6,NIACL
Depreciation,,37.23,33.45,24.14,31.8,44.88,72.19,87.31,90.69,98.46,NIACL
Interest,,2.75,2.18,2.93,3.45,5.25,8.53,,,,NIACL
Profit before tax,,1038.06,923.03,1695.22,1037.12,1163.85,2725.06,644.87,1638.82,2036.71,NIACL
Tax,,154.94,125.77,320.96,102.52,155.93,524.14,65.08,221.07,432.03,NIACL
Net profit,,883.12,797.27,1374.26,934.6,1007.93,2200.92,579.79,1417.75,1604.69,NIACL
