Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,3.18,3.18,3.18,3.18,11.18,IPL
Reserves,,,,,,106.68,140.73,183.84,253.66,378.32,IPL
Borrowings,,,,,,42.95,45.92,61.06,28.04,30.3,IPL
Other Liabilities,,,,,,42.48,50.53,69.16,80.82,97.29,IPL
Total,,,,,,195.29,240.36,317.24,365.7,517.09,IPL
Net Block,,,,,,60.74,69.01,69.96,99.42,124.47,IPL
Capital Work in Progress,,,,,,2.67,2.75,5.0,1.16,11.89,IPL
Investments,,,,,,2.08,3.3,3.06,3.04,9.91,IPL
Other Assets,,,,,,129.8,165.3,239.22,262.08,370.82,IPL
Total,,,,,,195.29,240.36,317.24,365.7,517.09,IPL
Receivables,,,,,,87.07,124.78,178.31,183.17,214.22,IPL
Inventory,,,,,,23.87,19.22,35.53,38.57,70.08,IPL
Cash & Bank,,,,,,5.06,3.49,2.84,8.03,42.96,IPL
No. of Equity Shares,,,,,,318325.0,318325.0,318325.0,318325.0,111785130.0,IPL
New Bonus Shares,,,,,,,,,,,IPL
Face value,,,,,,100.0,100.0,100.0,100.0,1.0,IPL
