Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,6.81,451.49,474.46,549.47,580.74,208.01,DCAL
Raw Material Cost,,,,,,152.55,173.05,197.38,180.15,86.54,DCAL
Change in Inventory,,,,,,10.48,17.74,34.8,-19.96,-21.9,DCAL
Power and Fuel,,,,,,26.36,28.48,31.44,35.27,12.78,DCAL
Other Mfr. Exp,,,,,,19.44,19.26,28.71,26.56,19.27,DCAL
Employee Cost,,,,,,66.76,61.67,80.27,88.87,59.4,DCAL
Selling and admin,,,,,5.08,43.74,37.27,48.65,42.84,28.68,DCAL
Other Expenses,,,,0.01,0.05,4.99,6.09,4.03,7.67,36.9,DCAL
Other Income,,,,0.45,0.32,70.8,65.58,71.68,63.71,66.15,DCAL
Depreciation,,,,,,135.85,134.45,136.31,140.65,143.21,DCAL
Interest,,,,0.94,0.99,39.17,35.34,47.43,47.02,34.17,DCAL
Profit before tax,,,,-0.5,1.01,43.91,62.17,81.73,55.46,-168.69,DCAL
Tax,,,,,0.12,19.67,25.1,25.72,16.94,64.12,DCAL
Net profit,,,,-0.5,0.89,24.24,37.07,56.01,38.52,-232.81,DCAL
