Report Date,Unnamed: 1,2010-03-31 00:00:00,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,123.69,153.5,286.15,323.63,1056.03,1392.73,2009.83,2196.14,2527.5,HGINFRA
Raw Material Cost,,,,,157.7,408.87,546.24,891.93,892.64,1185.65,HGINFRA
Change in Inventory,,,,,,,,,,,HGINFRA
Power and Fuel,,,,,,,1.01,1.73,0.99,2.2,HGINFRA
Other Mfr. Exp,,,,,98.17,472.26,549.05,668.16,816.0,797.78,HGINFRA
Employee Cost,,,,,20.85,40.79,76.14,119.11,111.38,109.26,HGINFRA
Selling and admin,,,,,1.68,4.73,9.71,14.72,13.54,12.78,HGINFRA
Other Expenses,,117.6,144.74,247.58,0.11,4.94,2.51,10.98,19.2,8.07,HGINFRA
Other Income,,,,1.2,1.81,3.42,4.67,11.53,13.65,14.34,HGINFRA
Depreciation,,,,11.24,14.17,25.6,53.92,75.45,75.63,84.43,HGINFRA
Interest,,,,8.81,12.72,18.88,40.06,49.03,52.36,59.56,HGINFRA
Profit before tax,,6.09,8.76,19.72,20.04,83.38,118.76,190.25,228.05,282.11,HGINFRA
Tax,,,,6.55,6.55,29.96,34.49,66.68,62.33,71.15,HGINFRA
Net profit,,6.09,8.76,13.17,13.49,53.42,84.26,123.57,165.72,210.96,HGINFRA
