Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.19,0.19,1.88,4.78,5.26,10.04,AARON
Reserves,,,,,0.05,0.1,1.66,4.59,5.3,2.13,AARON
Borrowings,,,,,1.15,1.33,1.05,5.27,5.2,7.07,AARON
Other Liabilities,,,,,0.82,0.94,2.37,2.87,3.08,2.51,AARON
Total,,,,,2.21,2.56,6.96,17.51,18.84,21.75,AARON
Net Block,,,,,0.1,0.12,1.45,8.71,9.29,12.88,AARON
Capital Work in Progress,,,,,,,,,0.36,0.5,AARON
Investments,,,,,,,,0.04,,,AARON
Other Assets,,,,,2.11,2.44,5.51,8.76,9.19,8.37,AARON
Total,,,,,2.21,2.56,6.96,17.51,18.84,21.75,AARON
Receivables,,,,,0.76,0.7,1.56,1.84,2.41,1.73,AARON
Inventory,,,,,1.19,1.5,3.31,4.6,5.57,6.12,AARON
Cash & Bank,,,,,0.08,0.02,0.01,0.38,0.15,0.11,AARON
No. of Equity Shares,,,,,186400.0,188400.0,1880447.0,4782838.0,5261114.0,10043939.0,AARON
New Bonus Shares,,,,,,,,,,,AARON
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,AARON
