Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,115.11,92.26,103.25,110.16,189.98,349.14,447.08,651.99,524.19,402.87,MAANALU
Raw Material Cost,104.59,76.23,84.28,92.57,171.69,317.44,405.4,603.65,483.98,352.04,MAANALU
Change in Inventory,3.02,2.58,1.68,-0.4,1.25,-2.52,-1.7,-1.72,5.88,10.94,MAANALU
Power and Fuel,3.89,5.08,7.01,6.1,4.98,5.48,6.39,7.69,8.0,8.07,MAANALU
Other Mfr. Exp,1.17,1.97,1.77,2.2,2.76,3.78,4.3,4.75,6.63,8.61,MAANALU
Employee Cost,2.97,3.96,3.4,3.24,3.68,5.54,6.17,7.49,8.57,9.63,MAANALU
Selling and admin,2.8,3.6,3.92,2.23,2.54,6.19,10.65,11.75,21.49,14.4,MAANALU
Other Expenses,-0.36,-0.05,-0.37,-0.18,0.47,0.07,-0.3,-3.09,-11.07,-3.44,MAANALU
Other Income,0.33,0.92,0.73,0.96,1.13,4.69,4.58,4.93,3.78,2.45,MAANALU
Depreciation,1.49,1.77,2.21,1.42,1.43,1.59,1.71,2.14,2.47,3.2,MAANALU
Interest,1.35,2.53,3.07,2.71,3.85,6.11,5.87,6.43,4.63,3.88,MAANALU
Profit before tax,0.56,0.67,0.37,0.43,0.96,5.11,9.77,14.39,9.15,19.87,MAANALU
Tax,0.16,0.27,-0.04,0.15,0.34,1.84,3.35,5.22,1.6,5.08,MAANALU
Net profit,0.4,0.4,0.42,0.28,0.6,3.27,6.42,9.17,7.55,14.8,MAANALU
