Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,8.19,14.27,15.12,16.53,35.42,47.86,30.46,BANKA
Raw Material Cost,,,,5.34,6.66,6.05,5.52,9.21,,,BANKA
Change in Inventory,,,,0.24,-1.28,-0.08,0.34,0.8,0.57,3.21,BANKA
Power and Fuel,,,,,,0.04,0.04,0.1,0.11,0.1,BANKA
Other Mfr. Exp,,,,0.19,2.22,2.02,0.89,2.91,13.2,13.34,BANKA
Employee Cost,,,,1.43,1.61,0.89,4.93,14.66,22.05,13.02,BANKA
Selling and admin,,,,0.86,1.24,1.5,2.07,2.88,4.16,3.44,BANKA
Other Expenses,,,,0.14,0.21,0.05,0.01,0.23,0.22,0.32,BANKA
Other Income,,,,0.01,0.06,0.04,0.16,0.37,0.45,0.58,BANKA
Depreciation,,,,0.13,0.16,2.77,0.19,0.32,0.47,0.6,BANKA
Interest,,,,0.23,0.46,0.07,0.8,0.62,0.83,1.56,BANKA
Profit before tax,,,,0.12,0.49,1.69,2.58,5.66,7.84,1.87,BANKA
Tax,,,,0.05,0.18,0.65,0.68,1.16,1.62,-0.33,BANKA
Net profit,,,,0.08,0.32,1.04,1.89,4.51,6.23,2.21,BANKA
