Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,81.1,93.31,100.53,195.35,215.82,156.13,74.99,VIKASLIFE
Raw Material Cost,,,,79.46,90.53,100.44,189.57,210.21,156.1,57.73,VIKASLIFE
Change in Inventory,,,,0.59,-0.37,1.36,4.3,6.74,13.64,-6.03,VIKASLIFE
Power and Fuel,,,,,,0.01,0.07,0.04,0.07,0.07,VIKASLIFE
Other Mfr. Exp,,,,,,,,,0.01,0.01,VIKASLIFE
Employee Cost,,,,0.18,0.34,0.25,1.69,1.16,0.99,0.66,VIKASLIFE
Selling and admin,,,,0.3,0.63,0.58,2.5,2.13,1.35,1.63,VIKASLIFE
Other Expenses,,,,0.39,0.18,0.1,1.68,3.96,1.04,1.09,VIKASLIFE
Other Income,,,,0.95,1.62,2.31,5.54,4.83,-1.95,-3.24,VIKASLIFE
Depreciation,,,,0.25,0.16,0.32,0.8,0.72,0.74,0.68,VIKASLIFE
Interest,,,,1.57,1.87,1.65,6.71,6.21,5.01,5.35,VIKASLIFE
Profit before tax,,,,0.49,0.85,0.85,2.17,2.96,2.51,-1.5,VIKASLIFE
Tax,,,,0.07,0.14,0.17,0.69,0.88,1.11,2.0,VIKASLIFE
Net profit,,,,0.42,0.7,0.69,1.48,2.08,1.4,-3.5,VIKASLIFE
