Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,9.27,13.31,13.51,13.8,13.99,14.0,16.97,BARBEQUE
Reserves,,,,11.9,119.86,102.28,167.16,156.99,61.79,143.89,BARBEQUE
Borrowings,,,,27.59,51.93,78.94,81.94,471.48,620.88,508.64,BARBEQUE
Other Liabilities,,,,9.7,60.22,302.69,380.26,98.13,139.28,372.1,BARBEQUE
Total,,,,58.46,245.32,497.42,643.16,740.59,835.95,1041.6,BARBEQUE
Net Block,,,,31.14,161.89,381.61,461.84,596.96,665.45,603.3,BARBEQUE
Capital Work in Progress,,,,0.76,14.22,14.95,11.97,9.01,9.73,5.39,BARBEQUE
Investments,,,,,12.51,25.32,27.57,27.9,40.63,40.74,BARBEQUE
Other Assets,,,,26.56,56.7,75.54,141.78,106.72,120.14,392.17,BARBEQUE
Total,,,,58.46,245.32,497.42,643.16,740.59,835.95,1041.6,BARBEQUE
Receivables,,,,2.06,4.79,4.07,6.54,5.63,2.52,4.58,BARBEQUE
Inventory,,,,2.09,12.11,15.01,17.5,18.26,12.98,18.36,BARBEQUE
Cash & Bank,,,,0.77,1.04,4.44,35.58,6.77,12.52,242.45,BARBEQUE
No. of Equity Shares,,,,9265004.0,13312007.0,27024014.0,27599014.0,27984014.0,27991788.0,33942920.0,BARBEQUE
New Bonus Shares,,,,,,,,,,,BARBEQUE
Face value,,,,10.0,10.0,5.0,5.0,5.0,5.0,5.0,BARBEQUE
