Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2019-03-31 00:00:00,2020-03-31 00:00:00,Company_Name
Sales,,,,,,,,,178.75,175.9,TARSONS
Raw Material Cost,,,,,,,,,56.38,49.98,TARSONS
Change in Inventory,,,,,,,,,5.4,1.31,TARSONS
Power and Fuel,,,,,,,,,6.78,6.09,TARSONS
Other Mfr. Exp,,,,,,,,,3.23,4.57,TARSONS
Employee Cost,,,,,,,,,16.14,20.09,TARSONS
Selling and admin,,,,,,,,,27.57,25.42,TARSONS
Other Expenses,,,,,,,,,2.38,1.81,TARSONS
Other Income,,,,,,,,,5.97,4.15,TARSONS
Depreciation,,,,,,,,,14.56,14.17,TARSONS
Interest,,,,,,,,,7.25,6.1,TARSONS
Profit before tax,,,,,,,,,55.83,53.13,TARSONS
Tax,,,,,,,,,16.87,12.6,TARSONS
Net profit,,,,,,,,,38.96,40.53,TARSONS
