Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,100.6,341.83,584.62,519.97,BOROLTD
Raw Material Cost,,,,,,,18.14,108.7,214.68,188.15,BOROLTD
Change in Inventory,,,,,,,-3.35,15.89,5.93,-37.81,BOROLTD
Power and Fuel,,,,,,,17.19,32.52,32.94,20.07,BOROLTD
Other Mfr. Exp,,,,,,,22.9,37.5,53.4,35.14,BOROLTD
Employee Cost,,,,,,,10.17,57.47,92.13,89.19,BOROLTD
Selling and admin,,,,,,,16.86,62.29,110.02,73.54,BOROLTD
Other Expenses,,,,,,,1.06,6.01,1.92,0.7,BOROLTD
Other Income,,,,,,,-3.56,11.53,2.23,16.34,BOROLTD
Depreciation,,,,,,,8.38,23.59,32.58,29.61,BOROLTD
Interest,,,,,,,6.68,9.41,4.67,1.76,BOROLTD
Profit before tax,,,,,,,-7.69,31.76,50.44,60.34,BOROLTD
Tax,,,,,,,-0.91,8.1,9.29,19.57,BOROLTD
Net profit,,,,,,,-6.78,23.66,41.15,40.77,BOROLTD
