Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,35.31,41.67,29.99,43.8,50.18,59.35,65.23,59.56,66.76,MARSHALL
Raw Material Cost,,,,,31.98,34.41,44.68,48.68,35.38,47.81,MARSHALL
Change in Inventory,,,,,0.31,0.44,,9.78,5.27,1.56,MARSHALL
Power and Fuel,,,,,0.47,0.32,0.31,0.21,0.38,0.24,MARSHALL
Other Mfr. Exp,,,,,-0.34,0.77,,0.97,0.56,0.89,MARSHALL
Employee Cost,,,,,3.76,4.24,4.57,5.77,6.85,6.63,MARSHALL
Selling and admin,,,,,2.43,4.6,2.29,4.1,5.73,3.18,MARSHALL
Other Expenses,,33.39,40.33,28.36,0.34,0.12,-5.31,0.07,0.11,-0.08,MARSHALL
Other Income,,,,,0.11,0.35,0.07,0.23,0.8,0.11,MARSHALL
Depreciation,,,,,1.23,1.6,2.2,3.73,8.1,5.12,MARSHALL
Interest,,,,,3.62,3.11,3.22,3.71,4.4,3.81,MARSHALL
Profit before tax,,1.92,1.34,1.63,0.73,1.8,7.46,8.0,4.12,0.83,MARSHALL
Tax,,,,,0.32,0.69,2.46,2.23,1.15,0.29,MARSHALL
Net profit,,1.92,1.34,1.63,0.42,1.1,5.01,5.77,2.97,0.54,MARSHALL
